Date,Total Pos, Total Long,Total Short,Dollar PnL,Cumulative PnL,Total Market Value,Net Market Value 
20060511,160600,256000,106500,-97711,6.58636e+09,1.30148e+09,7.02367e+06
20060512,123000,225600,126100,-142783,6.55962e+09,1.00148e+09,5.68858e+06
20060515,39100,174700,175000,29637,6.5647e+09,3.27433e+08,3.15005e+06
20060516,-9400,137800,205800,36898,6.57299e+09,-1.18105e+08,791239
20060517,-110900,97900,275800,63184,6.58186e+09,-1.05446e+09,-3.25438e+06
20060518,-183900,60400,323000,76075,6.5949e+09,-1.66865e+09,-6.19327e+06
20060519,-223800,54800,340600,-96485,6.58219e+09,-2.03122e+09,-7.91169e+06
20060522,-250300,51300,355700,118003,6.60515e+09,-2.19264e+09,-8.93782e+06
20060523,-299400,39000,379400,62330,6.61642e+09,-2.67389e+09,-1.11361e+07
20060524,-298100,37400,380700,24098,6.62078e+09,-2.61421e+09,-1.1331e+07
20060525,-299400,39800,377300,-175340,6.58565e+09,-2.65756e+09,-1.16238e+07
20060526,-305900,45200,373500,-79251,6.57152e+09,-2.68209e+09,-1.17999e+07
20060530,-308500,46900,367600,249630,6.62293e+09,-2.61134e+09,-1.16899e+07
20060531,-300300,53700,337200,-150854,6.59696e+09,-2.56305e+09,-1.1735e+07
20060601,-279800,69300,307700,-285178,6.54091e+09,-2.38745e+09,-1.11713e+07
20060602,-239200,90700,270900,-19644,6.53662e+09,-2.10878e+09,-9.64098e+06
20060605,-231300,89500,242900,229968,6.57985e+09,-1.98749e+09,-9.07983e+06
20060606,-201000,111600,224500,79731,6.59387e+09,-1.68205e+09,-7.6499e+06
20060607,-168900,129000,214000,104648,6.61418e+09,-1.48448e+09,-6.81415e+06
20060608,-170200,119800,222900,15939,6.6186e+09,-1.46776e+09,-6.44352e+06
20060609,-164100,102800,242100,29219,6.62416e+09,-1.36724e+09,-6.34803e+06
20060612,-171800,99100,255500,239954,6.66804e+09,-1.423e+09,-6.60608e+06
20060613,-207100,93200,287700,138248,6.69026e+09,-1.63141e+09,-7.47505e+06
20060614,-225600,71400,301600,-135865,6.66433e+09,-1.79942e+09,-8.36712e+06
20060615,-227700,70700,306100,-303338,6.60707e+09,-1.85149e+09,-8.79344e+06
20060616,-242600,60200,316000,35209,6.61307e+09,-1.97205e+09,-8.96495e+06
20060619,-231300,55000,291400,134746,6.63717e+09,-1.84303e+09,-8.6785e+06
20060620,-199000,69500,262400,31451,6.64256e+09,-1.55681e+09,-7.48423e+06
